name,pos,adp,proj,surplus,there@5,there@20,there@29,there@44,there@53,there@77,there@92,there@101,there@116,there@125,there@140,there@149,there@164,there@173
Jahmyr Gibbs,RB,1.0,288,124,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Bijan Robinson,RB,2.0,282,118,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Ja'Marr Chase,WR,3.0,261,105,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Puka Nacua,WR,4.0,259,103,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Taylor,RB,5.0,241,77,52,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaxon Smith-Njigba,WR,6.0,268,112,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian McCaffrey,RB,7.0,234,70,68,0,0,0,0,0,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,WR,8.0,243,87,75,0,0,0,0,0,0,0,0,0,0,0,0,0
James Cook III,RB,9.0,237,73,76,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Brown,RB,10.0,230,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De'Von Achane,RB,11.0,234,70,81,1,0,0,0,0,0,0,0,0,0,0,0,0
CeeDee Lamb,WR,12.0,237,81,84,2,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Henry,RB,13.0,216,52,83,4,0,0,0,0,0,0,0,0,0,0,0,0
Saquon Barkley,RB,14.0,229,65,83,7,0,0,0,0,0,0,0,0,0,0,0,0
Justin Jefferson,WR,15.0,231,75,85,13,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Walker,RB,16.0,210,46,84,21,0,0,0,0,0,0,0,0,0,0,0,0
Omarion Hampton,RB,17.0,211,47,84,28,0,0,0,0,0,0,0,0,0,0,0,0
Josh Allen,QB,18.0,357,45,82,13,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Brown,WR,19.0,211,55,85,51,1,0,0,0,0,0,0,0,0,0,0,0
Drake London,WR,20.0,227,71,86,62,1,0,0,0,0,0,0,0,0,0,0,0
George Pickens,WR,21.0,211,55,88,69,4,0,0,0,0,0,0,0,0,0,0,0
Ashton Jeanty,RB,22.0,191,27,85,72,6,0,0,0,0,0,0,0,0,0,0,0
Rashee Rice,WR,23.0,214,58,86,79,12,0,0,0,0,0,0,0,0,0,0,0
Nico Collins,WR,24.0,211,55,84,80,20,0,0,0,0,0,0,0,0,0,0,0
Kyren Williams,RB,25.0,203,39,86,83,28,0,0,0,0,0,0,0,0,0,0,0
Brock Bowers,TE,26.0,192,76,84,50,8,0,0,0,0,0,0,0,0,0,0,0
Trey McBride,TE,27.0,184,68,85,71,20,0,0,0,0,0,0,0,0,0,0,0
Chris Olave,WR,28.0,189,33,88,87,55,0,0,0,0,0,0,0,0,0,0,0
Malik Nabers,WR,29.0,197,41,86,86,68,0,0,0,0,0,0,0,0,0,0,0
Javonte Williams,RB,30.0,193,29,86,86,73,0,0,0,0,0,0,0,0,0,0,0
DeVonta Smith,WR,31.0,187,31,88,88,80,1,0,0,0,0,0,0,0,0,0,0
Jeremiyah Love,RB,32.0,188,24,87,87,83,1,0,0,0,0,0,0,0,0,0,0
Travis Etienne Jr.,RB,33.0,190,26,89,88,84,2,0,0,0,0,0,0,0,0,0,0
Zay Flowers,WR,34.0,215,59,87,87,85,5,0,0,0,0,0,0,0,0,0,0
D'Andre Swift,RB,35.0,190,26,87,87,84,5,0,0,0,0,0,0,0,0,0,0
Cam Skattebo,RB,36.0,189,25,86,86,85,10,0,0,0,0,0,0,0,0,0,0
Tee Higgins,WR,37.0,197,41,87,87,87,22,0,0,0,0,0,0,0,0,0,0
Breece Hall,RB,38.0,203,39,88,88,88,34,0,0,0,0,0,0,0,0,0,0
Ladd McConkey,WR,39.0,189,33,87,87,87,38,1,0,0,0,0,0,0,0,0,0
Lamar Jackson,QB,40.0,344,32,86,86,80,14,0,0,0,0,0,0,0,0,0,0
Colston Loveland,TE,41.0,159,43,89,88,82,15,0,0,0,0,0,0,0,0,0,0
Tetairoa McMillan,WR,42.0,200,44,88,88,88,65,9,0,0,0,0,0,0,0,0,0
Bucky Irving,RB,43.0,188,24,88,88,88,73,13,0,0,0,0,0,0,0,0,0
Emeka Egbuka,WR,44.0,192,36,89,89,89,79,23,0,0,0,0,0,0,0,0,0
Garrett Wilson,WR,45.0,191,35,88,88,88,84,35,0,0,0,0,0,0,0,0,0
Jaylen Waddle,WR,46.0,174,18,89,89,89,78,28,0,0,0,0,0,0,0,0,0
Quinshon Judkins,RB,47.0,179,15,89,89,89,82,41,0,0,0,0,0,0,0,0,0
David Montgomery,RB,48.0,176,12,89,89,89,86,53,0,0,0,0,0,0,0,0,0
Joe Burrow,QB,49.0,329,17,89,89,89,74,30,0,0,0,0,0,0,0,0,0
DJ Moore,WR,50.0,169,13,90,90,90,89,66,0,0,0,0,0,0,0,0,0
Drake Maye,QB,51.0,331,19,91,91,90,72,35,0,0,0,0,0,0,0,0,0
Ollie Gordon II,RB,52.0,140,-24,90,90,90,89,74,0,0,0,0,0,0,0,0,0
Jadarian Price,RB,52.0,153,-11,89,89,89,71,35,0,0,0,0,0,0,0,0,0
